Datum;Produkt;Nettomenge;Bruttoumsatz
01.07.20;Alaunstein;0;0
02.07.20;Alaunstein;0;0
03.07.20;Alaunstein;0;0
04.07.20;Alaunstein;0;0
05.07.20;Alaunstein;1;8,39
06.07.20;Alaunstein;3;25,19
07.07.20;Alaunstein;5;43,07
08.07.20;Alaunstein;1;8,62
09.07.20;Alaunstein;2;17,22
10.07.20;Alaunstein;2;17,22
11.07.20;Alaunstein;1;8,61
12.07.20;Alaunstein;3;25,83
13.07.20;Alaunstein;2;17,23
14.07.20;Alaunstein;0;0
15.07.20;Alaunstein;5;43,06
16.07.20;Alaunstein;0;0
17.07.20;Alaunstein;1;8,61
18.07.20;Alaunstein;0;0
19.07.20;Alaunstein;0;0
20.07.20;Alaunstein;2;17,24
21.07.20;Alaunstein;2;17,22
22.07.20;Alaunstein;0;0
23.07.20;Alaunstein;1;8,61
24.07.20;Alaunstein;1;8,61
25.07.20;Alaunstein;2;17,22
26.07.20;Alaunstein;0;0
27.07.20;Alaunstein;2;17,22
28.07.20;Alaunstein;0;0
29.07.20;Alaunstein;1;8,61
30.07.20;Alaunstein;2;17,24
31.07.20;Alaunstein;0;0
01.08.20;Alaunstein;0;0
02.08.20;Alaunstein;0;0
03.08.20;Alaunstein;0;0
04.08.20;Alaunstein;0;0
05.08.20;Alaunstein;1;8,39
06.08.20;Alaunstein;0;0
07.08.20;Alaunstein;0;0
08.08.20;Alaunstein;2;17,23
09.08.20;Alaunstein;2;17,23
10.08.20;Alaunstein;1;8,61
11.08.20;Alaunstein;2;17,22
12.08.20;Alaunstein;1;8,61
13.08.20;Alaunstein;0;0
14.08.20;Alaunstein;0;0
15.08.20;Alaunstein;4;34,46
16.08.20;Alaunstein;5;43,05
17.08.20;Alaunstein;0;0
18.08.20;Alaunstein;0;0
19.08.20;Alaunstein;9;77,54
20.08.20;Alaunstein;6;51,67
21.08.20;Alaunstein;0;0
22.08.20;Alaunstein;1;8,62
23.08.20;Alaunstein;6;51,68
24.08.20;Alaunstein;4;34,44
25.08.20;Alaunstein;9;77,49
26.08.20;Alaunstein;1;8,61
27.08.20;Alaunstein;5;43,07
28.08.20;Alaunstein;3;27,21
29.08.20;Alaunstein;3;25,83
30.08.20;Alaunstein;3;25,83
31.08.20;Alaunstein;4;34,46
01.09.20;Alaunstein;0;0
02.09.20;Alaunstein;0;0
03.09.20;Alaunstein;0;0
04.09.20;Alaunstein;0;0
05.09.20;Alaunstein;1;8,39
06.09.20;Alaunstein;1;9,99
07.09.20;Alaunstein;0;0
08.09.20;Alaunstein;3;25,84
09.09.20;Alaunstein;0;0
10.09.20;Alaunstein;1;8,61
11.09.20;Alaunstein;0;0
12.09.20;Alaunstein;5;43,05
13.09.20;Alaunstein;2;17,22
14.09.20;Alaunstein;1;8,61
15.09.20;Alaunstein;3;25,83
16.09.20;Alaunstein;2;18,6
17.09.20;Alaunstein;1;8,61
18.09.20;Alaunstein;1;8,61
19.09.20;Alaunstein;1;8,61
20.09.20;Alaunstein;4;34,44
21.09.20;Alaunstein;1;8,61
22.09.20;Alaunstein;2;17,22
23.09.20;Alaunstein;0;0
24.09.20;Alaunstein;0;0
25.09.20;Alaunstein;0;0
